Wall time,Step,Value
1693316417.8153145,1,-10932.6904296875
1693316461.3678622,2,-2625.5146484375
1693316494.8945599,3,-2410.528564453125
1693316530.3735008,4,-1915.13720703125
1693316566.530432,5,-2412.94091796875
1693316643.00753,6,-1855.0660400390625
1693316680.5481129,7,-1643.1607666015625
1693316718.6955767,8,-1783.7159423828125
1693316754.7294714,9,-1619.668701171875
1693316792.133592,10,-1431.53857421875
1693316868.2591512,11,-1371.5037841796875
1693316905.0986717,12,-1483.7110595703125
1693316941.0129976,13,-1354.75048828125
1693316977.1042273,14,-1513.11376953125
1693317012.6492949,15,-1378.1962890625
1693317085.0902426,16,-1494.81591796875
1693317123.1065314,17,-1491.67333984375
1693317158.5796928,18,-1403.5850830078125
1693317198.1556818,19,-1377.1876220703125
1693317235.334015,20,-1283.669921875
1693317314.1003077,21,-1328.1661376953125
1693317352.3584924,22,-1429.8349609375
1693317389.9234717,23,-1618.4271240234375
1693317427.1623397,24,-1478.4287109375
1693317463.4467776,25,-1389.6124267578125
1693317538.2087166,26,-1413.66455078125
1693317576.7590969,27,-1465.2540283203125
1693317615.1799266,28,-1475.198486328125
1693317652.4277008,29,-1320.8995361328125
1693317689.5015483,30,-1612.086181640625
1693317762.8628168,31,-1357.239501953125
1693317797.7671466,32,-1208.7852783203125
1693317833.9337144,33,-1165.2703857421875
1693317869.7423668,34,-1846.64599609375
1693317905.4025645,35,-1255.012451171875
1693317981.48378,36,-1459.8690185546875
1693318024.9958692,37,-1517.0634765625
1693318067.1394968,38,-1578.85791015625
1693318108.3171654,39,-1171.8553466796875
1693318142.812737,40,-1254.50048828125
1693318215.1705422,41,-1253.349853515625
1693318253.391171,42,-1404.096923828125
1693318288.674055,43,-1738.0257568359375
1693318324.3308034,44,-1493.898681640625
1693318359.5082285,45,-1238.47998046875
1693318431.7726946,46,-1376.789306640625
1693318466.542586,47,-1478.32763671875
1693318501.2668009,48,-1507.8778076171875
1693318536.3378363,49,-1200.6429443359375
1693318571.2619345,50,-1856.7713623046875
1693318644.346605,51,-1296.3228759765625
1693318679.9766347,52,-1352.9599609375
1693318715.8592873,53,-1112.1431884765625
1693318751.4723845,54,-1278.732177734375
1693318788.286652,55,-1483.593505859375
1693318864.4724543,56,-1200.5115966796875
1693318899.7839673,57,-1820.5841064453125
1693318934.8417373,58,-1420.73974609375
1693318971.0759265,59,-1256.2803955078125
1693319007.2094185,60,-1335.3682861328125
1693319092.3048487,61,-2567.817138671875
1693319159.436659,62,-1098.9512939453125
1693319221.0791287,63,-1330.080322265625
1693319270.8779442,64,-1190.280029296875
