Wall time,Step,Value
1693316604.813683,5000,0.7803934812545776
1693316829.6236331,10000,0.7746878862380981
1693317049.7027614,15000,0.7783013582229614
1693317273.3410726,20000,0.7843384146690369
1693317501.0567594,25000,0.7779956459999084
1693317726.6728818,30000,0.7742990255355835
1693317943.0889776,35000,0.7826088070869446
1693318179.5528169,40000,0.7746450901031494
1693318396.648192,45000,0.7710869908332825
1693318607.5889163,50000,0.7742554545402527
1693318825.6108062,55000,0.7819141745567322
1693319047.6197405,60000,0.7726716995239258
