Wall time,Step,Value
1693323255.9344673,5000,0.864070475101471
1693323443.7243824,10000,0.857533872127533
1693323623.051542,15000,0.866312563419342
1693323795.7128384,20000,0.8811259269714355
1693323976.6072667,25000,0.8804872632026672
1693324179.586977,30000,0.8743707537651062
1693324367.9150472,35000,0.8746064305305481
1693324554.688386,40000,0.882469892501831
1693324734.5011299,45000,0.8882371187210083
1693324924.3183951,50000,0.8905304074287415
1693325127.3219109,55000,0.894953727722168
1693325314.495417,60000,0.9017080068588257
1693325516.5710137,65000,0.8986616730690002
