Wall time,Step,Value
1693323116.1830618,1,0.694014847278595
1693323140.16123,2,0.8063365817070007
1693323173.4307582,3,0.8166791200637817
1693323205.3695288,4,0.819453239440918
1693323235.9975343,5,0.8319546580314636
1693323293.5367098,6,0.8339412212371826
1693323324.7725844,7,0.8307694792747498
1693323357.9690633,8,0.8257758021354675
1693323392.9396703,9,0.826117753982544
1693323424.3905268,10,0.8362858295440674
1693323475.9273615,11,0.8333572745323181
1693323513.1598177,12,0.8358393907546997
1693323545.6980264,13,0.8428651094436646
1693323575.0892413,14,0.8362904787063599
1693323604.7877665,15,0.8385886549949646
1693323653.4775276,16,0.8451495170593262
1693323683.4730885,17,0.849975049495697
1693323714.5678198,18,0.8527153134346008
1693323745.0546439,19,0.8540812730789185
1693323775.9342904,20,0.8573511838912964
1693323828.4112422,21,0.8638673424720764
1693323861.2326999,22,0.8694992065429688
1693323893.1564322,23,0.8759647011756897
1693323923.8546424,24,0.8695560693740845
1693323956.6662183,25,0.8643591403961182
1693324010.794458,26,0.8702674508094788
1693324050.5202432,27,0.8710774183273315
1693324086.177127,28,0.8719677925109863
1693324122.6953616,29,0.8742927312850952
1693324158.092164,30,0.8737266063690186
1693324211.882167,31,0.8734305500984192
1693324245.3868947,32,0.8693264722824097
1693324278.6853468,33,0.8752151131629944
1693324311.8073182,34,0.8708280324935913
1693324346.2689269,35,0.8710299730300903
1693324401.5950625,36,0.8731186985969543
1693324434.3175862,37,0.875029444694519
1693324470.252417,38,0.8758399486541748
1693324503.5187893,39,0.8753001689910889
1693324534.5936563,40,0.8776765465736389
1693324586.8707929,41,0.8803297281265259
1693324620.6193147,42,0.881529688835144
1693324652.4590182,43,0.8850217461585999
1693324682.935025,44,0.8809159398078918
1693324714.2333739,45,0.882774829864502
1693324766.779678,46,0.8862367868423462
1693324800.075904,47,0.886155366897583
1693324833.768017,48,0.8865250945091248
1693324867.3877668,49,0.8871049880981445
1693324901.481767,50,0.8843320608139038
1693324962.0591128,51,0.8923220038414001
1693324998.8603299,52,0.890566349029541
1693325032.4155297,53,0.8910808563232422
1693325067.9278388,54,0.8923838138580322
1693325105.5560672,55,0.8966695070266724
1693325160.1765344,56,0.8956052660942078
1693325193.6209328,57,0.8949345946311951
1693325225.2772353,58,0.8954985737800598
1693325257.485516,59,0.8977095484733582
1693325291.8315754,60,0.8952546715736389
1693325348.3658898,61,0.8967421054840088
1693325380.9405572,62,0.897075355052948
1693325414.1550405,63,0.900863528251648
1693325455.100271,64,0.8982381224632263
1693325489.8738468,65,0.8998135924339294
1693325558.1799798,66,0.9011142253875732
1693325648.3843064,67,0.9005358219146729
1693325703.6112962,68,0.9009463787078857
