Wall time,Step,Value
1693323116.2022355,1,-7601.08740234375
1693323140.1613276,2,-1719.7127685546875
1693323173.4308727,3,-1569.835693359375
1693323205.369623,4,-1216.7384033203125
1693323235.9976232,5,-962.8334350585938
1693323293.5368323,6,-927.4283447265625
1693323324.772707,7,-847.2109985351562
1693323357.9691544,8,-966.2478637695312
1693323392.9397757,9,-746.6729736328125
1693323424.3906224,10,-990.8598022460938
1693323475.9276223,11,-836.2349853515625
1693323513.159927,12,-768.9588012695312
1693323545.6981554,13,-727.0970458984375
1693323575.0893414,14,-593.16552734375
1693323604.7878656,15,-566.1187744140625
1693323653.4776466,16,-565.1739501953125
1693323683.4731836,17,-595.227294921875
1693323714.5679123,18,-551.66259765625
1693323745.054753,19,-568.4715576171875
1693323775.9343777,20,-640.810302734375
1693323828.4113362,21,-567.4736328125
1693323861.2327938,22,-511.5289611816406
1693323893.156529,23,-493.2825012207031
1693323923.8547406,24,-652.2374877929688
1693323956.666316,25,-556.7327880859375
1693324010.7946057,26,-627.7684326171875
1693324050.5205822,27,-486.7911376953125
1693324086.1772244,28,-636.6392822265625
1693324122.6954646,29,-484.37451171875
1693324158.0922878,30,-482.50653076171875
1693324211.8822684,31,-481.4144287109375
1693324245.3869886,32,-520.1984252929688
1693324278.6854584,33,-658.1336669921875
1693324311.8074386,34,-581.5306396484375
1693324346.2690334,35,-583.8118896484375
1693324401.5951772,36,-583.4259033203125
1693324434.3177052,37,-692.0714721679688
1693324470.2527144,38,-529.2736206054688
1693324503.5188844,39,-526.4785766601562
1693324534.5937858,40,-518.529296875
1693324586.8708947,41,-497.975830078125
1693324620.619425,42,-635.0328369140625
1693324652.459109,43,-485.597900390625
1693324682.935134,44,-562.2614135742188
1693324714.2334704,45,-626.5421142578125
1693324766.7797873,46,-601.1350708007812
1693324800.0760179,47,-521.9479370117188
1693324833.7681274,48,-541.9478149414062
1693324867.3879485,49,-534.2902221679688
1693324901.4818792,50,-616.176513671875
1693324962.0592327,51,-556.6539916992188
1693324998.8604658,52,-670.06494140625
1693325032.4156272,53,-553.55517578125
1693325067.928002,54,-522.326904296875
1693325105.5562122,55,-498.61322021484375
1693325160.1766858,56,-504.9627990722656
1693325193.6210458,57,-568.3742065429688
1693325225.2773347,58,-492.4900817871094
1693325257.48563,59,-512.2115478515625
1693325291.8316877,60,-520.4860229492188
1693325348.366001,61,-658.1286010742188
1693325380.9411104,62,-490.8086853027344
1693325414.1552494,63,-485.77484130859375
1693325455.1007977,64,-540.7901611328125
1693325489.8740344,65,-462.6512756347656
1693325558.180259,66,-550.1636962890625
1693325648.3847651,67,-562.2400512695312
1693325703.611873,68,-593.3533325195312
