parameter_file,production_sh_10x10_2m
modification_online,False
modes_discared,[ 0  5 10]
sr_le_modes,"[0.7040413618087769, 0.8469153046607971, 0.8485859632492065]"
best_modes_discarded,10
gains,"[0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7]"
sr_le_gains,"[0.7723092436790466, 0.801439106464386, 0.8223714232444763, 0.8375723958015442, 0.8485859632492065, 0.8563371300697327, 0.8613302707672119, 0.8637951016426086, 0.8637629747390747]"
best_gain,0.65
sr_le_best_gain,0.8637951016426086
